id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,usage_type,power
85082,Muddy_Lake_NDB_CA,3P,Muddy Lake,NDB,242,58.23690033,-132.19599915,,CA,LO,MEDIUM
85083,Postville_NDB_CA,3R,Postville,NDB,366,54.90750122,-59.79690170,193,CA,LO,MEDIUM
85085,Cluff_Lake_NDB_CA,3X,Cluff Lake,NDB,243,58.36029816,-109.52500153,,CA,LO,MEDIUM
85086,Donnelly_NDB-DME_CA,3Y,Donnelly,NDB-DME,234,55.71060181,-117.09999847,1949,CA,LO,LOW
85087,Russell_NDB_CA,3Z,Russell,NDB,263,50.76419830,-101.29599762,1825,CA,LO,LOW
85088,Taber_NDB-DME_CA,3Z,Taber,NDB-DME,388,49.82580185,-112.17800140,2648,CA,LO,LOW
85089,Koala_NDB-DME_CA,4A,Koala,NDB-DME,350,64.69809723,-110.60900116,1540,CA,TERMINAL,MEDIUM
85090,Little_Grand_Rapids_NDB_CA,4B,Little Grand Rapids,NDB,280,52.04420090,-95.46189880,1005,CA,LO,MEDIUM
85091,Helmet_NDB_CA,4D,Helmet,NDB,364,59.42139816,-120.78900146,2025,CA,LO,MEDIUM
85092,Cross_Lake_NDB_CA,4G,Cross Lake,NDB,353,54.61080170,-97.76640320,709,CA,LO,MEDIUM
85093,Points_North_Landing_NDB_CA,4H,Points North Landing,NDB,368,58.26919937,-104.08000183,1620,CA,LO,MEDIUM
85094,Knee_Lake_NDB_CA,4J,Knee Lake,NDB,314,54.88330078,-94.80000305,,CA,LO,LOW
85095,St_Theresa_Point_NDB_CA,4K,St Theresa Point,NDB,362,53.84500122,-94.84940338,773,CA,LO,LOW
85096,Chatham_NDB_CA,4L,Chatham,NDB,236,42.31230164,-82.07769775,650,CA,LO,LOW
85097,Red_Sucker_Lake_NDB_CA,4M,Red Sucker Lake,NDB,399,54.16889954,-93.56320190,729,CA,LO,LOW
85098,Oxford_House_NDB_CA,4N,Oxford House,NDB,386,54.92860031,-95.28250122,688,CA,LO,MEDIUM
85099,Swan_Hills_NDB_CA,4O,Swan Hills,NDB,251,54.67499924,-115.42400360,3473,CA,LO,MEDIUM
85100,Brochet_NDB_CA,4Q,Brochet,NDB,347,57.88610077,-101.67700195,1136,CA,LO,MEDIUM
85101,Shamattawa_NDB_CA,4T,Shamattawa,NDB,280,55.85929871,-92.08599854,289,CA,LO,LOW
85102,Lac_Brochet_NDB_CA,4V,Lac Brochet,NDB,371,58.61830139,-101.47000122,1257,CA,LO,LOW
85103,Kelsey_NDB_CA,4W,Kelsey,NDB,391,56.03749847,-96.51280212,600,CA,LO,LOW
85104,Lac_Du_Bonnet_NDB_CA,4X,Lac Du Bonnet,NDB,386,50.29029846,-96.01419830,850,CA,LO,MEDIUM
85105,Key_Lake_NDB_CA,4Y,Key Lake,NDB,376,57.25419998,-105.62200165,1670,CA,LO,MEDIUM
85106,Summerside_NDB_CA,5B,Summerside,NDB,254,46.39690018,-63.88169861,,CA,LO,MEDIUM
85107,Fox_Creek_NDB-DME_CA,5F,Fox Creek,NDB-DME,353,54.37939835,-116.76000214,2841,CA,LO,LOW
85108,Coronation_NDB_CA,5J,Coronation,NDB,328,52.07440186,-111.44799805,2595,CA,LO,HIGH
85109,Donaldson_NDB_CA,5L,Donaldson,NDB,233,61.66469955,-73.29190063,1888,CA,BOTH,MEDIUM
85110,Sparwood_NDB_CA,5M,Sparwood,NDB,200,49.83720016,-114.88400269,3800,CA,LO,MEDIUM
85111,Gods_River_NDB_CA,5O,Gods River,NDB,350,54.84189987,-94.06909943,676,CA,LO,LOW
85112,Fontanges_NDB_CA,5Q,Fontanges,NDB,239,54.56000137,-71.17109680,1552,CA,LO,LOW
85113,Fort_Vermilion_NDB-DME_CA,5U,Fort Vermilion,NDB-DME,261,58.40250015,-115.95099640,836,CA,LO,LOW
85114,Drumheller_NDB-DME_CA,5V,Drumheller,NDB-DME,395,51.50249863,-112.75099945,2625,CA,LO,MEDIUM
85115,Leaf_Rapids_NDB_CA,5W,Leaf Rapids,NDB,226,56.51169968,-99.98390198,959,CA,LO,MEDIUM
85116,Trenton_NDB_CA,5Y,Trenton,NDB,361,45.61180115,-62.62509918,317,CA,LO,LOW
85117,Grand_Manan_NDB_CA,6E,Grand Manan,NDB,387,44.71559906,-66.80220032,238,CA,LO,MEDIUM
85118,Port_Hope_Simpson_NDB_CA,6F,Port Hope Simpson,NDB,367,52.52030182,-56.29520035,347,CA,LO,LOW
85119,Red_Deer_DME_CA,6G,Red Deer,DME,111600,52.18119812,-113.88300323,2985,CA,LO,LOW
85120,Vernon_Bc_NDB_CA,6K,Vernon Bc,NDB,302,50.34999847,-119.26000214,,CA,LO,LOW
85121,Belleville_NDB_CA,6M,Belleville,NDB,283,44.19499969,-77.30829620,320,CA,LO,LOW
85122,Cigar_Lake_NDB_CA,6Q,Cigar Lake,NDB,222,58.06969833,-104.53900146,,CA,LO,MEDIUM
85123,York_Landing_NDB_CA,6X,York Landing,NDB,339,56.08829880,-96.09690094,609,CA,LO,MEDIUM
85124,La_Loche_NDB_CA,6Z,La Loche,NDB,410,56.47829819,-109.40100098,1500,CA,LO,MEDIUM
85125,St_Thomas_NDB_CA,7B,St Thomas,NDB,375,42.77090073,-81.10569763,776,CA,LO,HIGH
85126,Fogo_NDB_CA,7C,Fogo,NDB,237,49.66159821,-54.24509811,97,CA,LO,MEDIUM
85127,Hudson_Bay_NDB_CA,7D,Hudson Bay,NDB,337,52.84780121,-102.18699646,,CA,LO,LOW
85128,Collins_Bay_NDB_CA,7F,Collins Bay,NDB,400,58.22829819,-103.68299866,1340,CA,LO,MEDIUM
85129,Marystown_NDB_CA,7H,Marystown,NDB,234,47.13830185,-55.32500076,96,CA,LO,MEDIUM
85130,Forestburg_NDB_CA,7J,Forestburg,NDB,261,52.57640076,-112.08599854,2352,CA,LO,LOW
85131,La_Sarre_NDB_CA,7L,La Sarre,NDB,405,48.91059875,-79.17890167,1048,CA,LO,LOW
85132,Iroquois_Falls_NDB_CA,7P,Iroquois Falls,NDB,382,48.70840073,-80.73590088,,CA,LO,LOW
85133,Jasper-Hinton_NDB_CA,7V,Jasper-Hinton,NDB,233,53.32109833,-117.75499725,4026,CA,LO,LOW
85134,Carlyle_NDB_CA,8A,Carlyle,NDB,310,49.64559937,-102.28099823,2074,CA,LO,MEDIUM
85135,Fairview_NDB-DME_CA,8C,Fairview,NDB-DME,295,56.07559967,-118.44100189,2190,CA,LO,MEDIUM
85136,Debert_NDB_CA,8F,Debert,NDB,239,45.42200089,-63.45959854,142,CA,LO,LOW
85137,Stettler_NDB-DME_CA,8G,Stettler,NDB-DME,286,52.30830002,-112.75399780,2700,CA,LO,LOW
85138,St_Paul_NDB_CA,8H,St Paul,NDB,375,53.99190140,-111.39099884,2147,CA,LO,MEDIUM
85139,Provost_NDB_CA,8J,Provost,NDB,208,52.33280182,-110.27300262,2216,CA,LO,LOW
85140,Provost_DME_CA,8J,Provost,DME,109000,52.33359909,-110.27300262,2216,CA,LO,LOW
85141,Valleyview_NDB_CA,8K,Valleyview,NDB,229,55.03440094,-117.28900146,2450,CA,LO,LOW
85142,Elk_Point_NDB-DME_CA,8M,Elk Point,NDB-DME,414,53.89030075,-110.76799774,1999,CA,LO,LOW
85143,Edson_NDB-DME_CA,8N,Edson,NDB-DME,393,53.58079910,-116.45500183,3066,CA,LO,LOW
85144,Hanna_NDB_CA,9A,Hanna,NDB,221,51.62779999,-111.90100098,2738,CA,LO,LOW
85145,Sundre_NDB_CA,9G,Sundre,NDB,405,51.77999878,-114.68299866,3656,CA,LO,MEDIUM
85146,La_Grande_3_NDB_CA,9H,La Grande 3,NDB,235,53.57379913,-76.20079803,774,CA,LO,MEDIUM
85147,Amos_NDB_CA,9Q,Amos,NDB,291,48.55759811,-78.24310303,1068,CA,LO,LOW
85148,Powell_River_Bc_DME_CA,9S,Powell River Bc,DME,109300,49.83560181,-124.49900055,425,CA,BOTH,LOW
85149,Brooks_NDB-DME_CA,9X,Brooks,NDB-DME,227,50.63219833,-111.92199707,2499,CA,LO,LOW
85150,Pincher_Creek_NDB_CA,9Y,Pincher Creek,NDB,311,49.52330017,-113.99900055,,CA,BOTH,LOW
85151,Westlock_NDB-DME_CA,9Z,Westlock,NDB-DME,236,54.14310074,-113.74800110,2230,CA,LO,LOW
85152,Baku_Bina_NDB_AZ,A,Baku/Bina,NDB,113,40.44499969,50.06330109,19,AZ,TERMINAL,LOW
85154,Ministro_Pistarini_NDB_AR,A,Ministro Pistarini,NDB,237,-34.84159851,-58.52239990,66,AR,TERMINAL,LOW
85155,Reconquista_NDB_AR,A,Reconquista,NDB,242,-29.21100044,-59.70759964,,AR,TERMINAL,LOW
85156,Tartagal_NDB_AR,A,Tartagal,NDB,415,-22.63590050,-63.79570007,1473,AR,TERMINAL,LOW
85157,Habana_NDB_CU,A,Habana,NDB,339,22.97380066,-82.43219757,233,CU,TERMINAL,MEDIUM
85158,Almaza_NDB_EG,A,Almaza,NDB,490,30.07399940,31.35939980,,EG,TERMINAL,MEDIUM
85159,Budapest_NDB_HU,A,Budapest,NDB,343,47.45500183,19.21050072,,HU,TERMINAL,LOW
85160,Opera_NDB_HU,A,Opera,NDB,422,47.10670090,20.22669983,322,HU,TERMINAL,LOW
85161,Almaty_NDB_KZ,A,Almaty,NDB,763,43.36859894,77.07389832,,KZ,BOTH,MEDIUM
85162,Baneasa_East_NDB_RO,A,Baneasa East,NDB,434,44.51029968,26.13689995,,RO,BOTH,HIGH
85163,Sheremetyevo_NDB_RU,A,Sheremetyevo,NDB,338,55.97999954,37.46170044,,RU,TERMINAL,LOW
85164,Kharkiv_NDB_UA,A,Kharkiv,NDB,678,49.92430115,36.31969833,,UA,BOTH,HIGH
85165,Zaporizhzhia_NDB_UA,A,Zaporizhzhia,NDB,608,47.84700012,35.30279922,,UA,TERMINAL,LOW
85166,Taltheilei_Narrows_NDB_CA,A1,Taltheilei Narrows,NDB,264,62.59469986,-111.51899719,570,CA,LO,MEDIUM
85167,Chinchaga_NDB_CA,A5,Chinchaga,NDB,317,57.54499817,-119.11100006,2280,CA,LO,LOW
85168,Liverpool_NDB_CA,A9,Liverpool,NDB,330,44.22700119,-64.85849762,314,CA,LO,LOW
85169,Auckland_VOR-DME_NZ,AA,Auckland,VOR-DME,114800,-37.00460052,174.81399536,13,NZ,BOTH,HIGH
85170,Anaa_NDB_PF,AA,Anaa,NDB,333,-17.35560036,-145.48199463,,PF,TERMINAL,MEDIUM
85171,Accra_NDB_GH,AA,Accra,NDB,409,5.67616987,-0.13803300,,GH,TERMINAL,MEDIUM
85172,Aasiaat_NDB_GL,AA,Aasiaat,NDB,336,68.72319794,-52.78480148,,GL,LO,LOW
85173,Atambua_NDB_ID,AA,Atambua,NDB,300,-9.07444000,124.90499878,1434,ID,BOTH,MEDIUM
85174,Aliabad_NDB_IR,AA,Aliabad,NDB,397,35.63370132,51.41780090,3603,IR,BOTH,LOW
85175,Abemama_NDB_KI,AA,Abemama,NDB,396,0.50000000,173.85000610,108,KI,BOTH,LOW
85176,Aioun_El_Atrouss_NDB_MR,AA,Aioun El Atrouss,NDB,310,16.69210052,-9.60037994,,MR,BOTH,LOW
85177,Madrid_NDB_ES,AA,Madrid,NDB,355,40.44820023,-3.53881001,,ES,TERMINAL,LOW
85178,Kenie_NDB_US,AA,Kenie,NDB,365,47.00930023,-96.81520081,887,US,TERMINAL,MEDIUM
85179,Cedar_NDB_US,AA,Cedar,NDB,341,33.53300095,-82.61440277,517,US,TERMINAL,LOW
85180,Abraham_NDB_US,AAA,Abraham,NDB,329,40.16009903,-89.33779907,593,US,TERMINAL,LOW
85181,Ahmedabad_VOR-DME_IN,AAE,Ahmedabad,VOR-DME,113100,23.07220078,72.62500000,184,IN,BOTH,HIGH
85182,Apalachicola_NDB_US,AAF,Apalachicola,NDB,349,29.72330093,-85.02809906,19,US,TERMINAL,LOW
85183,Aalborg_TACAN_DK,AAL,Aalborg,TACAN,116700,57.10390091,9.99281025,57,DK,BOTH,HIGH
85184,Aalborg_VOR-DME_DK,AAL,Aalborg,VOR-DME,116700,57.10369873,9.99557972,57,DK,RNAV,HIGH
85185,Araraquara_NDB_BR,AAQ,Araraquara,NDB,205,-21.81299973,-48.13949966,2514,BR,BOTH,MEDIUM
85186,Arar_VORTAC_SA,AAR,Arar,VORTAC,113300,30.90800095,41.14220047,1811,SA,BOTH,HIGH
85187,Amritsar_VOR-DME_IN,AAR,Amritsar,VOR-DME,115500,31.70689964,74.80079651,752,IN,BOTH,HIGH
85188,Agartala_VOR-DME_IN,AAT,Agartala,VOR-DME,116100,23.88960075,91.23970032,47,IN,BOTH,HIGH
85189,Aurangabad_VOR-DME_IN,AAU,Aurangabad,VOR-DME,116300,19.86470032,75.39409637,1908,IN,BOTH,HIGH
85190,Ashland_NDB_US,AAU,Ashland,NDB,329,40.96329880,-82.25340271,1256,US,TERMINAL,LOW
85191,Addis_Abeba_NDB_ET,AB,Addis Abeba,NDB,333,8.99736977,38.82020187,,ET,BOTH,MEDIUM
85192,Akraberg_NDB_FO,AB,Akraberg,NDB,381,61.39530182,-6.68110991,,FO,BOTH,HIGH
85193,Atbasar_NDB_KZ,AB,Atbasar,NDB,420,51.88330078,68.40000153,,KZ,BOTH,MEDIUM
85194,Podkamennaya_Tunguska_NDB_RU,AB,Podkamennaya Tunguska,NDB,342,61.59170151,89.94170380,,RU,TERMINAL,HIGH
85195,Abakan_NDB_RU,AB,Abakan,NDB,360,53.69829941,91.34999847,,RU,TERMINAL,HIGH
85196,Abqaiq_NDB_SA,AB,Abqaiq,NDB,290,25.89999962,49.58330154,229,SA,BOTH,LOW
85197,Alexander_Bay_NDB_ZA,AB,Alexander Bay,NDB,318,-28.61890030,16.47999954,,ZA,BOTH,MEDIUM
85198,Putny_NDB_US,AB,Putny,NDB,227,31.45610046,-84.27619934,,US,TERMINAL,LOW
85199,Tomhi_NDB_US,AB,Tomhi,NDB,353,32.29890060,-99.67420197,1950,US,TERMINAL,LOW
85200,Reney_NDB_US,AB,Reney,NDB,203,45.38600159,-98.32839966,,US,TERMINAL,LOW
85201,Leehi_NDB_US,AB,Leehi,NDB,400,40.58580017,-75.54959869,,US,TERMINAL,LOW
85202,Aruba_VOR-DME_AW,ABA,Aruba,VOR-DME,112500,12.50979996,-69.94069672,59,AW,BOTH,HIGH
85203,Albany_NDB-DME_AU,ABA,Albany,NDB-DME,240,-34.95220184,117.81099701,243,AU,BOTH,MEDIUM
85204,Nabb_VORTAC_US,ABB,Nabb,VORTAC,112400,38.58879852,-85.63600159,710,US,LO,MEDIUM
85205,Abbeville_VOR-DME_FR,ABB,Abbeville,VOR-DME,108450,50.13510132,1.85468996,223,FR,BOTH,HIGH
85206,Abuja_VOR-DME_NG,ABC,Abuja,VOR-DME,116300,9.03779984,7.28509998,1240,NG,BOTH,MEDIUM
85207,Abadan_VOR-DME_IR,ABD,Abadan,VOR-DME,114500,30.38699913,48.21760178,10,IR,BOTH,HIGH
85208,Abyad_NDB_SY,ABD,Abyad,NDB,264,33.33530045,36.42819977,,SY,BOTH,HIGH
85209,Ambassador_NDB_US,ABG,Ambassador,NDB,404,32.58539963,-95.11299896,420,US,TERMINAL,LOW
85210,Abha_VORTAC_SA,ABH,Abha,VORTAC,112900,18.24189949,42.65689850,6862,SA,BOTH,HIGH
85211,Abilene_VORTAC_US,ABI,Abilene,VORTAC,113700,32.48130035,-99.86350250,1810,US,BOTH,HIGH
85212,Djibouti_Ambouli_TACAN_DJ,ABI,Djibouti/Ambouli,TACAN,114600,11.54950047,43.15459824,49,DJ,BOTH,HIGH
85213,Abakan_VOR-DME_RU,ABK,Abakan,VOR-DME,113300,53.74499893,91.38500214,830,RU,BOTH,HIGH
85214,Ambalema_NDB_CO,ABL,Ambalema,NDB,300,4.78388977,-74.76750183,,CO,BOTH,MEDIUM
85215,Abumusa_Island_NDB_IR,ABM,Abumusa Island,NDB,285,25.87779999,55.02289963,23,IR,BOTH,LOW
85216,Albenga_NDB_IT,ABN,Albenga,NDB,420,44.05580139,8.22111034,,IT,BOTH,LOW
85217,Albuquerque_VORTAC_US,ABQ,Albuquerque,VORTAC,113200,35.04380035,-106.81600189,5743,US,BOTH,HIGH
85218,Aberdeen_VOR-DME_US,ABR,Aberdeen,VOR-DME,113000,45.41740036,-98.36869812,1301,US,BOTH,HIGH
85219,Albacete_NDB_ES,ABT,Albacete,NDB,321,38.94409943,-1.99767005,,ES,LO,MEDIUM
85220,Abu_Argub_VOR-DME_LY,ABU,Abu Argub,VOR-DME,115100,32.46279907,13.16940022,470,LY,BOTH,HIGH
85221,Altenburg_NDB_DE,ABU,Altenburg,NDB,330,50.99380112,12.52099991,581,DE,TERMINAL,LOW
85222,Alexander_Bay_VOR-DME_ZA,ABV,Alexander Bay,VOR-DME,112100,-28.57069969,16.53389931,98,ZA,BOTH,HIGH
85223,Pleasant_Lake_NDB_CA,AC,Pleasant Lake,NDB,230,43.86090088,-66.04360199,141,CA,LO,LOW
85224,Coffi_NDB_US,AC,Coffi,NDB,358,31.69400024,-97.20379639,,US,TERMINAL,MEDIUM
85225,Waivs_NDB_US,AC,Waivs,NDB,248,41.31110001,-69.98670197,,US,TERMINAL,LOW
85226,Anloc_NDB_VN,AC,Anloc,NDB,320,10.93920040,107.18800354,,VN,BOTH,MEDIUM
85227,Acapulco_VOR-DME_MX,ACA,Acapulco,VOR-DME,115900,16.75849915,-99.75399780,13,MX,BOTH,HIGH
85228,Accra_VOR-DME_GH,ACC,Accra,VOR-DME,113100,5.63410997,-0.15534399,205,GH,BOTH,HIGH
85229,Alcobendas_NDB_ES,ACD,Alcobendas,NDB,417,40.58570099,-3.67651010,,ES,LO,LOW
85230,Kachemak_NDB_US,ACE,Kachemak,NDB,277,59.64130020,-151.50000000,78,US,LO,MEDIUM
85231,Anton_Chico_VORTAC_US,ACH,Anton Chico,VORTAC,117800,35.11169815,-105.04000092,5450,US,BOTH,HIGH
85232,Aracaju_VOR-DME_BR,ACJ,Aracaju,VOR-DME,112000,-10.98400021,-37.07139969,26,BR,BOTH,HIGH
85233,Aracaju_NDB_BR,ACJ,Aracaju,NDB,355,-10.98810005,-37.07369995,26,BR,BOTH,MEDIUM
85234,Nantucket_VOR-DME_US,ACK,Nantucket,VOR-DME,116200,41.28179932,-70.02670288,100,US,BOTH,HIGH
85235,Akron_VOR-DME_US,ACO,Akron,VOR-DME,114400,41.10789871,-81.20149994,1200,US,LO,MEDIUM
85236,Atico_NDB_PE,ACO,Atico,NDB,202,-16.24360085,-73.57859802,,PE,BOTH,MEDIUM
85237,Waseca_NDB_US,ACQ,Waseca,NDB,371,44.07020187,-93.55239868,1120,US,TERMINAL,LOW
85238,Waco_VORTAC_US,ACT,Waco,VORTAC,115300,31.66230011,-97.26899719,510,US,BOTH,HIGH
85239,Arcata_VOR-DME_US,ACV,Arcata,VOR-DME,110200,40.98139954,-124.10800171,193,US,LO,LOW
85240,Atlantic_City_VORTAC_US,ACY,Atlantic City,VORTAC,108600,39.45589828,-74.57630157,70,US,LO,MEDIUM
85241,Pendy_NDB_US,ACZ,Pendy,NDB,379,34.71630096,-78.00360107,30,US,TERMINAL,LOW
85242,Adelaide_VOR-DME_AU,AD,Adelaide,VOR-DME,116400,-34.94689941,138.52400208,32,AU,BOTH,HIGH
85243,Abidjan_VOR-DME_CI,AD,Abidjan,VOR-DME,114300,5.28281021,-3.91700006,30,CI,BOTH,HIGH
85244,Bateen_NDB_AE,AD,Bateen,NDB,392,24.42760086,54.45589828,,AE,BOTH,HIGH
85245,Adelaide (DECOMMISSIONED)_NDB_AU,AD,Adelaide (DECOMMISSIONED),NDB,362,-34.94639969,138.54600525,20,AU,BOTH,HIGH
85246,Rengat_NDB_ID,AD,Rengat,NDB,280,-0.34916100,102.33599854,61,ID,BOTH,MEDIUM
85247,Anda_NDB_NO,AD,Anda,NDB,288,61.82960129,6.11594009,,NO,TERMINAL,LOW
85248,Sheremetyevo_NDB_RU,AD,Sheremetyevo,NDB,700,55.98669815,37.50170135,,RU,TERMINAL,MEDIUM
85249,Sochi_NDB_RU,AD,Sochi,NDB,365,43.41500092,39.93170166,,RU,TERMINAL,MEDIUM
85250,Aldan_NDB_RU,AD,Aldan,NDB,451,58.61830139,125.43000031,,RU,TERMINAL,HIGH
85251,Ashgabat_NDB_TM,AD,Ashgabat,NDB,407,38.00500107,58.30670166,689,TM,TERMINAL,MEDIUM
85252,Brons_NDB_US,AD,Brons,NDB,407,33.04430008,-96.87049866,,US,TERMINAL,MEDIUM
85253,Andizhan_NDB_UZ,AD,Andizhan,NDB,422,40.73329926,72.30000305,,UZ,BOTH,MEDIUM
85254,Arandis_NDB_NA,AD,Arandis,NDB,328,-22.46669960,14.95829964,,NA,BOTH,MEDIUM
85255,Aden_NDB_YE,AD,Aden,NDB,361,12.87030029,45.00559998,,YE,BOTH,MEDIUM
85256,Aldeia_VOR-DME_BR,ADA,Aldeia,VOR-DME,112100,-22.81279945,-42.09529877,61,BR,BOTH,HIGH
85257,Adana_VOR-DME_TR,ADA,Adana,VOR-DME,112700,36.94060135,35.21030045,49,TR,BOTH,HIGH
85258,Aldeia_NDB_BR,ADA,Aldeia,NDB,345,-22.82299995,-42.09650040,61,BR,BOTH,MEDIUM
85259,Adana_NDB_TR,ADA,Adana,NDB,395,36.97079849,35.26169968,,TR,BOTH,HIGH
85260,Aguada_Grande_NDB_VE,ADA,Aguada Grande,NDB,323,10.61670017,-69.28330231,,VE,BOTH,MEDIUM
85261,Arkadelphia_NDB_US,ADF,Arkadelphia,NDB,275,34.05540085,-93.10489655,181,US,TERMINAL,LOW
85262,Adrian_NDB_US,ADG,Adrian,NDB,278,41.86999893,-84.07749939,862,US,TERMINAL,LOW
85263,Ada_VOR-DME_US,ADH,Ada,VOR-DME,117800,34.80260086,-96.67009735,987,US,LO,LOW
85264,Mount_Moffett_NDB-DME_US,ADK,Mount Moffett,NDB-DME,530,51.87189865,-176.67599487,332,US,BOTH,MEDIUM
85617,Chern_NDB_US,AS,Chern,NDB,359,42.82339859,-71.60209656,218,US,LO,LOW
85265,Sochi_VOR-DME_RU,ADL,Sochi,VOR-DME,112700,43.40330124,39.94829941,36,RU,BOTH,HIGH
85266,Ardmore_VORTAC_US,ADM,Ardmore,VORTAC,116700,34.21160126,-97.16829681,925,US,BOTH,HIGH
85267,Agadir_VOR-DME_MA,ADM,Agadir,VOR-DME,117200,30.32189941,-9.38333035,295,MA,BOTH,HIGH
85268,Roberto_VOR-DME_MX,ADN,Roberto,VOR-DME,115400,25.86540031,-100.23899841,1476,MX,BOTH,HIGH
85269,Aberdeen_VOR-DME_GB,ADN,Aberdeen,VOR-DME,114300,57.31060028,-2.26722002,600,GB,BOTH,HIGH
85270,Puerto_Deseado_NDB_AR,ADO,Puerto Deseado,NDB,210,-47.73329926,-65.90940094,266,AR,LO,HIGH
85271,Adrar_VOR-DME_DZ,ADR,Adrar,VOR-DME,112600,27.81699944,-0.20586701,920,DZ,BOTH,LOW
85272,Adrar_NDB_DZ,ADR,Adrar,NDB,340,27.78529930,-0.23027800,,DZ,BOTH,MEDIUM
85273,Addis_Abeba_VOR-DME_ET,ADS,Addis Abeba,VOR-DME,112900,8.97504044,38.79940033,7656,ET,BOTH,HIGH
85274,Atwood_NDB_US,ADT,Atwood,NDB,365,39.83860016,-101.04499817,2936,US,TERMINAL,LOW
85275,Audubon_NDB_US,ADU,Audubon,NDB,266,41.69029999,-94.91000366,1278,US,TERMINAL,LOW
85276,Andrews_VORTAC_US,ADW,Andrews,VORTAC,113100,38.80720139,-76.86620331,260,US,LO,MEDIUM
85277,Andraitx_NDB_ES,ADX,Andraitx,NDB,384,39.54940033,2.39585996,,ES,BOTH,LOW
